time[s] x1[m] x2[m] x1_dot[m/s] x2_dot[m/s]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999999999999999124e-05 3.994630289063285927e-08 4.800786330654287080e-15 7.989155046188001728e-04 1.445057222250644704e-10
1.100000000000000066e-03 4.832220561537305634e-06 7.031455105586374373e-12 8.784568328332501355e-03 1.981819454467694799e-08
1.110000000000000049e-02 4.906848755763564473e-04 1.380474843719599049e-08 8.827047946314513227e-02 4.387804380979546966e-06
5.997939952095505955e-02 1.409414005020971812e-02 7.189585368622796247e-06 4.645218171457802248e-01 4.609813098914743081e-04
1.599793995209550790e-01 9.556402373039880882e-02 3.225230039901830366e-04 1.140802208919863059e+00 7.840909816467050292e-03
2.599793995209550568e-01 2.357909813561597789e-01 2.116666051405962940e-03 1.619394992031236269e+00 3.134453451878062291e-02
3.599793995209550346e-01 4.103482157063153002e-01 7.324509629847207257e-03 1.836213766154450866e+00 7.668096432275023355e-02
4.599793995209550124e-01 5.972515038454406788e-01 1.822602852939973067e-02 1.869936585996246903e+00 1.450973451845621875e-01
5.599793995209549902e-01 7.763776187319253452e-01 3.703193401287888792e-02 1.666416419236575130e+00 2.340071012134160577e-01
6.599793995209549680e-01 9.220848901241917028e-01 6.548742375309647701e-02 1.222500569092070721e+00 3.365758721606281201e-01
7.599793995209549458e-01 1.019830564420303176e+00 1.044523340912275472e-01 7.334366598132925352e-01 4.422819473046789573e-01
8.599793995209549236e-01 1.068691502839099527e+00 1.536644176820171626e-01 2.506253236937461826e-01 5.396144457262749272e-01
9.599793995209549013e-01 1.072561437903270631e+00 2.117292396311545033e-01 -1.612041143589031944e-01 6.176308965087169423e-01
1.059979399520954990e+00 1.040122009086904109e+00 2.762386105736656661e-01 -4.574973077627024209e-01 6.671802483218857160e-01
1.159979399520955079e+00 9.874858367073479082e-01 3.440061717655582552e-01 -5.632144531895526551e-01 6.820965118775691449e-01
1.259979399520955168e+00 9.350064059800090588e-01 4.114318496309488649e-01 -4.520246462609619487e-01 6.603905888304506533e-01
1.359979399520955257e+00 9.001473080195998566e-01 4.749426134421782519e-01 -2.399440525093676502e-01 6.045245878649297966e-01
1.459979399520955345e+00 8.888207842215453125e-01 5.313776737379148907e-01 1.964024446396520074e-02 5.199537482742226935e-01
1.559979399520955434e+00 9.036065133679715977e-01 5.782181580897434170e-01 2.720938926993086149e-01 4.139501830578288244e-01
1.659979399520955523e+00 9.425390024877294826e-01 6.137242622414722515e-01 4.988671088739909942e-01 2.946530573038391720e-01
1.759979399520955612e+00 1.001450088776589809e+00 6.369815528984001940e-01 6.709894142763788150e-01 1.703197683312575317e-01
1.859979399520955701e+00 1.074660746685458079e+00 6.478784983569542133e-01 7.789527711704541391e-01 4.866184778112475628e-02
1.959979399520955790e+00 1.153834954902470677e+00 6.470253074335963195e-01 7.837889618007547465e-01 -6.371640104199920163e-02
2.059979399520955656e+00 1.226808370637726631e+00 6.356040876257174066e-01 6.547293090931110005e-01 -1.621143822526039668e-01
2.159979399520955745e+00 1.281097653475209874e+00 6.151461443606821566e-01 4.124483961005794841e-01 -2.442767153626927146e-01
2.259979399520955834e+00 1.306181277632153748e+00 5.872893708073170238e-01 8.037108536831810701e-02 -3.102877502330698700e-01
2.359979399520955923e+00 1.296476864420319952e+00 5.535623541799351566e-01 -2.747754817715507558e-01 -3.621162262662550591e-01
2.459979399520956012e+00 1.251587360926582182e+00 5.152414866602047505e-01 -6.190126821562178527e-01 -4.026951446406860646e-01
2.559979399520956100e+00 1.175123968858113210e+00 4.732909691564333166e-01 -8.860236466319324489e-01 -4.352201533113913001e-01
2.659979399520956189e+00 1.079319000722561039e+00 4.283853798166976645e-01 -1.016349078592272193e+00 -4.620459727029607722e-01
2.759979399520956278e+00 9.736088358826759936e-01 3.810425450568689643e-01 -1.083803363551508969e+00 -4.840305506001026936e-01
2.859979399520956367e+00 8.657660446226659312e-01 3.317405635508111628e-01 -1.061405353075309810e+00 -5.011370267023288472e-01
2.959979399520956456e+00 7.636105338073114757e-01 2.810110648346982321e-01 -9.667896931767633317e-01 -5.123406992822187034e-01
3.059979399520956544e+00 6.753610771554527936e-01 2.295310948680760743e-01 -7.869363647642190207e-01 -5.157525135073046663e-01
3.159979399520956633e+00 6.070609377775811888e-01 1.782095953754802287e-01 -5.833566710447858350e-01 -5.086964701258064325e-01
3.259979399520956722e+00 5.576143858192070812e-01 1.282268464953212339e-01 -4.061444173576065908e-01 -4.886218126115586258e-01
3.359979399520956811e+00 5.254223296252963360e-01 8.097754504048787494e-02 -2.479916775962431874e-01 -4.538046263529110780e-01
3.459979399520956900e+00 5.057102527663568381e-01 3.798251916467162287e-02 -1.513870706580363046e-01 -4.035437055016916075e-01
3.559979399520956989e+00 4.945325800858466625e-01 7.617106207765747539e-04 -8.049480734578620678e-02 -3.385253632650940259e-01
3.659979399520957077e+00 4.871320500937992848e-01 -2.928987137585035982e-02 -7.664501933498442388e-02 -2.605804947195969334e-01
3.759979399520957166e+00 4.793911689503436158e-01 -5.102846353259897494e-02 -7.019105994856225661e-02 -1.728678245999266672e-01
3.859979399520957255e+00 4.737153549567642008e-01 -6.365752084325140836e-02 -4.880636096047010625e-02 -7.897907801186060395e-02
3.959979399520957344e+00 4.681237333781245735e-01 -6.674241324176508061e-02 -6.797414699760373491e-02 1.734035252578765285e-02
4.059979399520956989e+00 4.599899561181873819e-01 -6.025168645184659361e-02 -8.994759752946417108e-02 1.117938206024791242e-01
4.159979399520956633e+00 4.516552267490429040e-01 -4.458755000871553881e-02 -7.268227011788597203e-02 2.001601204305422932e-01
4.259979399520956278e+00 4.452096273185421338e-01 -2.054056574290834616e-02 -5.624569655483367681e-02 2.789085647229030407e-01
4.359979399520955923e+00 4.415849245336141982e-01 1.077221014148985537e-02 -7.234034357881016786e-03 3.450337852129344851e-01
4.459979399520955567e+00 4.452106698876871493e-01 4.797625854408940627e-02 8.180603658857878158e-02 3.965015204422184802e-01
4.559979399520955212e+00 4.571175235155817140e-01 8.955203977409653682e-02 1.536909959711459939e-01 4.323649430636627988e-01
4.659979399520954857e+00 4.778390631184740167e-01 1.339160369411185603e-01 2.764761822261072033e-01 4.522833316695920591e-01
4.759979399520954502e+00 5.133296992852165452e-01 1.795074676556915882e-01 4.261903874893093747e-01 4.571970460809356984e-01
4.859979399520954146e+00 5.620797498503610212e-01 2.249184522880168513e-01 5.503720422615074881e-01 4.490064831583090443e-01
4.959979399520953791e+00 6.234862395522212664e-01 2.689448353535887626e-01 6.705993849616497249e-01 4.299140942485489836e-01
5.059979399520953436e+00 6.939541310580490396e-01 3.106202189957412707e-01 7.317683445926246311e-01 4.023702194719232517e-01
5.159979399520953081e+00 7.695525988074195523e-01 3.492078217215837665e-01 7.761502729168363590e-01 3.684998951514448229e-01
5.259979399520952725e+00 8.470896116512121043e-01 3.841764856708158593e-01 7.637221284438535651e-01 3.302935246316235363e-01
5.359979399520952370e+00 9.203018253289051431e-01 4.151703237150914383e-01 6.876643363164854916e-01 2.891765682520096026e-01
5.459979399520952015e+00 9.825696392207365903e-01 4.419358017960144380e-01 5.551776288929792802e-01 2.457538702021490884e-01
5.559979399520951659e+00 1.030995642684075619e+00 4.642435566621322396e-01 4.076686467640666667e-01 2.000027752502043787e-01
5.659979399520951304e+00 1.063660997242217521e+00 4.818515966920718929e-01 2.501591700560304443e-01 1.517064548528176682e-01
5.759979399520950949e+00 1.081640331974655478e+00 4.944932406988749585e-01 1.082753637955060910e-01 1.006737206752078007e-01
5.859979399520950594e+00 1.085691295285922342e+00 5.018979235281103568e-01 -1.855667795363585837e-02 4.699826080274016604e-02
5.959979399520950238e+00 1.080220013960096370e+00 5.038210965349413373e-01 -8.303492116071854723e-02 -8.795614103621299251e-03
6.059979399520949883e+00 1.069152832190917168e+00 5.001130541649835282e-01 -1.392153114090273480e-01 -6.536045911903173855e-02
6.159979399520949528e+00 1.053439932746277785e+00 4.907768600983667406e-01 -1.703362008963646979e-01 -1.210750128266829539e-01
6.259979399520949173e+00 1.034343432879987867e+00 4.759876915930981167e-01 -2.142114708438462300e-01 -1.741154084803871738e-01
6.359979399520948817e+00 1.011616774378009787e+00 4.560985159821092094e-01 -2.410959827206438644e-01 -2.228047869453813334e-01
6.459979399520948462e+00 9.833176345914047545e-01 4.316230805094306011e-01 -3.358468655983241069e-01 -2.656534812304421900e-01
6.559979399520948107e+00 9.449566369964875756e-01 4.031809639885857721e-01 -4.283927599909354567e-01 -3.021081800547975038e-01
6.659979399520947752e+00 8.966023031236692864e-01 3.714192894441024073e-01 -5.413426683894793090e-01 -3.320526366106952287e-01
6.759979399520947396e+00 8.380908882755098155e-01 3.369777290346108733e-01 -6.192402446876285049e-01 -3.557658232659918762e-01
6.859979399520947041e+00 7.739976438870888042e-01 3.004691412661193439e-01 -6.571717562676337998e-01 -3.733799354193483300e-01
6.959979399520946686e+00 7.080814496900177391e-01 2.625115749508676877e-01 -6.530084013348804728e-01 -3.846870429017200110e-01
7.059979399520946330e+00 6.447303392827771207e-01 2.237597125727266711e-01 -6.117974120022957596e-01 -3.891456339905220996e-01
7.159979399520945975e+00 5.853405843685585142e-01 1.849349334485067553e-01 -5.756867300278970534e-01 -3.860456215060638074e-01
7.259979399520945620e+00 5.311545163791681068e-01 1.468175962143249136e-01 -4.991034311083316077e-01 -3.749233187805466327e-01
7.359979399520945265e+00 4.853267109594446849e-01 1.102371072889258841e-01 -4.239211846266410233e-01 -3.552118577227095786e-01
7.459979399520944909e+00 4.464129549999706903e-01 7.607029689119849947e-02 -3.504289060915689591e-01 -3.266588696952080206e-01
7.559979399520944554e+00 4.147966617575229442e-01 4.519481808989002369e-02 -2.852232342570847345e-01 -2.894404434218491584e-01
7.659979399520944199e+00 3.902827258087291362e-01 1.845163998763701615e-02 -2.010813799947575864e-01 -2.441365625348514701e-01
7.759979399520943844e+00 3.733331270321040840e-01 -3.388543706997551586e-03 -1.427751002374609279e-01 -1.915431770123841027e-01
7.859979399520943488e+00 3.630365624217773979e-01 -1.965695535672161084e-02 -5.799206867708277258e-02 -1.329371552623200003e-01
7.959979399520943133e+00 3.602014901925715828e-01 -2.982020349513580734e-02 -9.135664025967028812e-03 -6.968836828819090223e-02
8.059979399520942778e+00 3.602518583789228734e-01 -3.350434287224701713e-02 7.950212508509597181e-03 -3.747393177867541780e-03
8.159979399520942422e+00 3.626252541697993492e-01 -3.056291482805486431e-02 5.086352045698180890e-02 6.240886553275916404e-02
8.259979399520942067e+00 3.709599244441930121e-01 -2.108772138583519390e-02 1.057306418751693261e-01 1.266192041898158704e-01
8.359979399520941712e+00 3.824397731920974874e-01 -5.369953259363496184e-03 1.248846952829262974e-01 1.868904371886437044e-01
8.459979399520941357e+00 3.957218555061390863e-01 1.608492523466160257e-02 1.375356565801093001e-01 2.410033575998849487e-01
8.559979399520941001e+00 4.103959960528164586e-01 4.255601135426897996e-02 1.620194488172160552e-01 2.868938515397490563e-01
8.659979399520940646e+00 4.292183303645798476e-01 7.313739297643508108e-02 2.202130682462143385e-01 3.230243543784997451e-01
8.759979399520940291e+00 4.551869738055006609e-01 1.068125085726935874e-01 2.984332644351307962e-01 3.487287940207678405e-01
8.859979399520939936e+00 4.887414517170111661e-01 1.425361119754829098e-01 3.737942715712206376e-01 3.640345989958818640e-01
8.959979399520939580e+00 5.300025100606410300e-01 1.792879198563886167e-01 4.513257301908762953e-01 3.694100079949516613e-01
9.059979399520939225e+00 5.787791173679203149e-01 2.161168524250206002e-01 5.168780199948013188e-01 3.657566288783811181e-01
9.159979399520938870e+00 6.307931933401216273e-01 2.521726401671557927e-01 5.121885235768331990e-01 3.540788786286562240e-01
9.259979399520938514e+00 6.796761928147837528e-01 2.866807919659513093e-01 4.586659955766207997e-01 3.348351515210251650e-01
9.359979399520938159e+00 7.221203374009681486e-01 3.188897815184260076e-01 3.936061179946251376e-01 3.080999799364044778e-01
9.459979399520937804e+00 7.584404513074798349e-01 3.480579058744850407e-01 3.298192565950885391e-01 2.740886082993230222e-01
9.559979399520937449e+00 7.885771691272123185e-01 3.734823693084265983e-01 2.789070657030030542e-01 2.333404854778128867e-01
9.659979399520937093e+00 8.146626707136125356e-01 3.945340667564480319e-01 2.442323574834496802e-01 1.868481408326032323e-01
9.759979399520936738e+00 8.380210769718972053e-01 4.107094971419381069e-01 2.215517926927948744e-01 1.360953897606325402e-01
9.859979399520936383e+00 8.582264602904899897e-01 4.216698830534348907e-01 1.852137958777693716e-01 8.283785212783761898e-02
9.959979399520936028e+00 8.762892449934885919e-01 4.272533532829220770e-01 1.746573539280133203e-01 2.888731029234939407e-02
1.005997939952093567e+01 8.912518335610212228e-01 4.274915786841037568e-01 1.168018385650277796e-01 -2.376599124073305175e-02
1.015997939952093532e+01 8.995920387680932384e-01 4.225917120793253878e-01 5.172494173492103720e-02 -7.367642348356395754e-02
1.025997939952093496e+01 9.005982953837267102e-01 4.128856416952574326e-01 -4.093990184412232836e-02 -1.197272636948604058e-01
1.035997939952093461e+01 8.905914480028142011e-01 3.987952093152453692e-01 -1.587443190980855345e-01 -1.613268574332996641e-01
1.045997939952093425e+01 8.683213884418279349e-01 3.807706853453886042e-01 -2.889712834915599826e-01 -1.984284147031146195e-01
1.055997939952093390e+01 8.341538705473483528e-01 3.592506856855984809e-01 -3.840332070928664243e-01 -2.312808325588666947e-01
1.065997939952093354e+01 7.925526189450009529e-01 3.346558690724789065e-01 -4.414403276837397527e-01 -2.598844849242182842e-01
1.075997939952093319e+01 7.481653113376943720e-01 3.074293396020303937e-01 -4.398294034318905310e-01 -2.837949298807124210e-01
1.085997939952093283e+01 7.043588615010196730e-01 2.780847384764957853e-01 -4.363694356756316894e-01 -3.020816970370992505e-01
1.095997939952093247e+01 6.609887036336963284e-01 2.472284662412798650e-01 -4.329574959301153436e-01 -3.139116897937288542e-01
1.105997939952093212e+01 6.188448918050569736e-01 2.155365507730779562e-01 -3.982761032105676113e-01 -3.187106382888938438e-01
1.115997939952093176e+01 5.809666907318989937e-01 1.837429883143943676e-01 -3.728653128132269345e-01 -3.158279716019047889e-01
1.125997939952093141e+01 5.440201104338427962e-01 1.526350394379996089e-01 -3.551406282755451005e-01 -3.050351540786485627e-01
1.135997939952093105e+01 5.104831083190869423e-01 1.229940233642978914e-01 -3.217824995262227872e-01 -2.865050478397922484e-01
1.145997939952093070e+01 4.792814304390657365e-01 9.558086863597589633e-02 -2.993841220035060036e-01 -2.605844139005372151e-01
1.155997939952093034e+01 4.515866865328517221e-01 7.109905415991552013e-02 -2.455772547577141918e-01 -2.280012981139374895e-01
1.165997939952092999e+01 4.316909921072600298e-01 5.018351425994369702e-02 -1.533041440995895899e-01 -1.893182939827580402e-01
1.175997939952092963e+01 4.196303121618731868e-01 3.342569254975651105e-02 -9.220173376251644681e-02 -1.449531554703144265e-01
1.185997939952092928e+01 4.134878479101878335e-01 2.135109098646689046e-02 -2.750592598215539919e-02 -9.584441158688969398e-02
1.195997939952092892e+01 4.134702165853901823e-01 1.437632644915098901e-02 1.607672876970255016e-02 -4.316588975845861431e-02
1.205997939952092857e+01 4.151177015795595726e-01 1.278275947272462451e-02 1.690897971191887908e-02 1.143325607728316873e-02
1.215997939952092821e+01 4.165478276442833305e-01 1.665230119041618412e-02 4.988523054453554428e-03 6.570750627220045548e-02
1.225997939952092786e+01 4.158989008065783199e-01 2.583117844090759146e-02 -1.184806825369023181e-02 1.171908018769013543e-01
1.235997939952092750e+01 4.143120818941072869e-01 3.991748220805148295e-02 -2.504999738993998748e-02 1.634926962919565074e-01
1.245997939952092715e+01 4.114140599822473932e-01 5.828561024412912128e-02 -2.094158102595243542e-02 2.024905847130736292e-01
1.255997939952092679e+01 4.119874696981410400e-01 8.012076618854051258e-02 3.309027138023666603e-02 2.326812931305377308e-01
1.265997939952092644e+01 4.171347702364439081e-01 1.045088189648651494e-01 6.855482994479081271e-02 2.534810078481072315e-01
1.275997939952092608e+01 4.276405592573969683e-01 1.304946582985271053e-01 1.560856758060202853e-01 2.646542880482859461e-01
1.285997939952092572e+01 4.493107755257887970e-01 1.571441978781929205e-01 2.747624468074322257e-01 2.669881373115896572e-01
1.295997939952092537e+01 4.826389878474143802e-01 1.836506699125207975e-01 3.918217489785968399e-01 2.620851898851885298e-01
1.305997939952092501e+01 5.265605308514549332e-01 2.093822117046988951e-01 4.791815046795108168e-01 2.518024798021227251e-01
1.315997939952092466e+01 5.767625280217241190e-01 2.338881840578029003e-01 5.136708842074513282e-01 2.378112257647410077e-01
1.325997939952092430e+01 6.282612562193777839e-01 2.568577464484574358e-01 5.183645815390777178e-01 2.212084154175421313e-01
1.335997939952092395e+01 6.791253009518539718e-01 2.780686197436338936e-01 4.825307185812676702e-01 2.027505884507317113e-01
1.345997939952092359e+01 7.229245090476278390e-01 2.973541511089338174e-01 3.903433574829188735e-01 1.826581730101230205e-01
1.355997939952092324e+01 7.550150204887280392e-01 3.145294774128348236e-01 2.396584987137006795e-01 1.604130004315872660e-01
1.365997939952092288e+01 7.714282364982036899e-01 3.293264624811880759e-01 9.936786012304998916e-02 1.348737417197589938e-01
1.375997939952092253e+01 7.761538080509509108e-01 3.413630850350409252e-01 2.585705627805370832e-03 1.051233300836177109e-01
1.385997939952092217e+01 7.741820286995328981e-01 3.502069810040128184e-01 -3.525809020533281907e-02 7.108682733796986564e-02
1.395997939952092182e+01 7.697114798311330830e-01 3.554650799871584277e-01 -4.828403303342453795e-02 3.360243586583805397e-02
1.405997939952092146e+01 7.652872294710570955e-01 3.568594028190794631e-01 -4.313120967906537706e-02 -5.910558005831630102e-03
1.415997939952092111e+01 7.601881469460781693e-01 3.542716153381154642e-01 -6.360979544974275368e-02 -4.577666014918761045e-02
1.425997939952092075e+01 7.510119597245509260e-01 3.477379684825385731e-01 -1.264713033984611046e-01 -8.464967847516360888e-02
1.435997939952092040e+01 7.350726603111497059e-01 3.374009751152198811e-01 -1.874129955788177426e-01 -1.217427196476693896e-01
1.445997939952092004e+01 7.142611697588064912e-01 3.234719722287995314e-01 -2.258294251971702249e-01 -1.563527278197066883e-01
1.455997939952091969e+01 6.901561342477090522e-01 3.062428963561256157e-01 -2.578756339180192647e-01 -1.875901176197567188e-01
1.465997939952091933e+01 6.624265304190760650e-01 2.860942420535083630e-01 -2.962400436433246242e-01 -2.146281539370027969e-01
1.475997939952091897e+01 6.310061048169625098e-01 2.634771829132686594e-01 -3.321121017334030534e-01 -2.368740777195748881e-01
1.485997939952091862e+01 5.961499011085316102e-01 2.388931123423461422e-01 -3.619581246361230908e-01 -2.539142568233629937e-01
1.495997939952091826e+01 5.603519517168891184e-01 2.128788763238957937e-01 -3.426463848381428035e-01 -2.654004052874947006e-01
1.505997939952091791e+01 5.280554208493166701e-01 1.860223616651293099e-01 -3.098856586780289746e-01 -2.706105089065076186e-01
1.515997939952091755e+01 4.982057462277313387e-01 1.589882223226332658e-01 -2.794522807426446098e-01 -2.688878122654004277e-01
1.525997939952091720e+01 4.732560053749461648e-01 1.324895816690532246e-01 -2.197018621554160389e-01 -2.598169153811615839e-01
1.535997939952091684e+01 4.540154393895199925e-01 1.072843475992110440e-01 -1.666090083328632954e-01 -2.429750978126840322e-01
1.545997939952091649e+01 4.394750756431786143e-01 8.415534130887036834e-02 -1.266613367768881226e-01 -2.183275676808202337e-01
1.555997939952091613e+01 4.277363828040382510e-01 6.386329377168656340e-02 -1.150052958708424750e-01 -1.863702951715132117e-01
1.565997939952091578e+01 4.161025820159842681e-01 4.708610971416243851e-02 -1.140154558296600645e-01 -1.482814462540653633e-01
1.575997939952091542e+01 4.049137590160760136e-01 3.435880475176741888e-02 -1.136082701195166023e-01 -1.056459748815947453e-01
1.585997939952091507e+01 3.939704081366893762e-01 2.604908685321792941e-02 -9.543336202418108150e-02 -6.023969013290568497e-02
1.595997939952091471e+01 3.870278679808894506e-01 2.234881378391048376e-02 -4.343852049586142267e-02 -1.368044755975574012e-02
1.605997939952091613e+01 3.850083114968910758e-01 2.330942024965077658e-02 1.728133102872855820e-03 3.276774607818239149e-02
1.615997939952091755e+01 3.874653055475896224e-01 2.885543286470921426e-02 5.103326843088648590e-02 7.781160429122330191e-02
1.625997939952091897e+01 3.956967604258060378e-01 3.878588105520412721e-02 1.119284664616845837e-01 1.202898486223870494e-01
1.635997939952092040e+01 4.099358865387186523e-01 5.279683480456064115e-02 1.790059749912628617e-01 1.592778252932559035e-01
1.645997939952092182e+01 4.322791780793674432e-01 7.050360091049766298e-02 2.635813880240140961e-01 1.941466454462023039e-01
1.655997939952092324e+01 4.612274322023670603e-01 9.147817801042157360e-02 3.114305670370732804e-01 2.245617860358227469e-01
1.665997939952092466e+01 4.945659263712038900e-01 1.152494110545124184e-01 3.578215091819682003e-01 2.499881594445629851e-01
1.675997939952092608e+01 5.333259384451901619e-01 1.412967399098712384e-01 4.156433658745012916e-01 2.700571213139483229e-01
1.685997939952092750e+01 5.759916288956155039e-01 1.690796133919263700e-01 4.291923522005914315e-01 2.846720873614109193e-01
1.695997939952092892e+01 6.188986085446565033e-01 1.980370414461627704e-01 4.289270834464204984e-01 2.934686735480442898e-01
1.705997939952093034e+01 6.605558559212524328e-01 2.275658929885157611e-01 3.982070115738933214e-01 2.960320675786491940e-01
1.715997939952093176e+01 6.988484140475880180e-01 2.570189774977494901e-01 3.711773886278872392e-01 2.918758164404622879e-01
1.725997939952093319e+01 7.346660096840688103e-01 2.857092822638440111e-01 3.451711998795197744e-01 2.807736762747762849e-01
1.735997939952093461e+01 7.686082275639666284e-01 3.129462233585812991e-01 3.370903439916399513e-01 2.628673547183925097e-01
1.745997939952093603e+01 8.028140118883687615e-01 3.380769950771045362e-01 3.526600089917835690e-01 2.388073989918539641e-01
1.755997939952093745e+01 8.391665590676378184e-01 3.605434522248549545e-01 3.665400301452277354e-01 2.098264142316041969e-01
1.765997939952093887e+01 8.751170763770586003e-01 3.799244783773623735e-01 3.530884238121623775e-01 1.773027272731462212e-01
1.775997939952094029e+01 9.089379971908383427e-01 3.959256827265010825e-01 3.130364702816503808e-01 1.424198812981188056e-01
1.785997939952094171e+01 9.366845872445490606e-01 4.083592674450215454e-01 2.432576404969274686e-01 1.060496679995045904e-01
1.795997939952094313e+01 9.579245745963360648e-01 4.171049920822916812e-01 1.836848035054795825e-01 6.876662585343178147e-02
1.805997939952094455e+01 9.734519563356983651e-01 4.221058274280000133e-01 1.175277289453016266e-01 3.128035749748667160e-02
