time[s] x1[m] x2[m] x1_dot[m/s] x2_dot[m/s]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999999999999999124e-05 2.836189496557366842e-08 3.408544589078090137e-15 5.672357325353920721e-04 1.025991283749548330e-10
1.100000000000000066e-03 3.431523172857264977e-06 4.993000657279171419e-12 6.238862986108316931e-03 1.407347563579732206e-08
1.110000000000000049e-02 3.491047981179056241e-04 9.814869548294417583e-09 6.286640781696760383e-02 3.120793454466333159e-06
6.408994065644660343e-02 1.154188354639932614e-02 6.636267737538034966e-06 3.576960989050446127e-01 3.996336533184544440e-04
1.640899406564466090e-01 7.334344052290218963e-02 2.573387090385649708e-04 8.648505641245883835e-01 6.125523764129022983e-03
2.640899406564466423e-01 1.802879154774811865e-01 1.642414861598412434e-03 1.242220765376311320e+00 2.409387810306724831e-02
3.640899406564466201e-01 3.152347564221592013e-01 5.638880724806249502e-03 1.431740891498614277e+00 5.882908746422531310e-02
4.640899406564465979e-01 4.624108246284797663e-01 1.401300156461015439e-02 1.486457734405910225e+00 1.116215471179127783e-01
5.640899406564465757e-01 6.058834774178726290e-01 2.851543643262947902e-02 1.343219998159143724e+00 1.808611433803379853e-01
6.640899406564465535e-01 7.237295658340429094e-01 5.056678587962902538e-02 9.912877577438822252e-01 2.614268564455616284e-01
7.640899406564465313e-01 8.027058811708028818e-01 8.090199747941113906e-02 5.849888081598861866e-01 3.450034889966284712e-01
8.640899406564465091e-01 8.399763221844213090e-01 1.193547520115146865e-01 1.633963221442170100e-01 4.221946888014851407e-01
9.640899406564464869e-01 8.369915161517107460e-01 1.648187680602831162e-01 -2.151099041604659368e-01 4.837649582389768610e-01
1.064089940656446576e+00 7.999042746664175585e-01 2.153186092672656760e-01 -5.015915957109182699e-01 5.217366012017718990e-01
1.164089940656446664e+00 7.421546864101105090e-01 2.681900484226562575e-01 -6.244933547074861258e-01 5.305462958803220941e-01
1.264089940656446753e+00 6.818554048160000436e-01 3.203848730235563380e-01 -5.501110599469254403e-01 5.082081951858984370e-01
1.364089940656446842e+00 6.354935933104781665e-01 3.688565715673171597e-01 -3.673013958082015362e-01 4.567043472688183114e-01
1.464089940656446931e+00 6.108652297239428597e-01 4.109131842541994817e-01 -1.163306296504632020e-01 3.808946367942595002e-01
1.564089940656447020e+00 6.125583270299931327e-01 4.444505165944792613e-01 1.500668063301920374e-01 2.875649761918173120e-01
1.664089940656447109e+00 6.406470165489744906e-01 4.681016129329534370e-01 4.059369544374130112e-01 1.845096921522426381e-01
1.764089940656447197e+00 6.921214313785850614e-01 4.812952077169825871e-01 6.153789998842572606e-01 7.971700845232011778e-02
1.864089940656447286e+00 7.615155094056385021e-01 4.842352902507964241e-01 7.574350536823117874e-01 -1.940664147441011067e-02
1.964089940656447375e+00 8.399861292439660954e-01 4.778097511737049996e-01 7.900551531111615899e-01 -1.067226226967118163e-01
2.064089940656447464e+00 9.147333466346941888e-01 4.634221238247261399e-01 6.825326566771559023e-01 -1.781888383766037642e-01
2.164089940656447553e+00 9.723795737027363106e-01 4.427502769830247153e-01 4.498419863578049238e-01 -2.323896019879577446e-01
2.264089940656447641e+00 1.001246762231257081e+00 4.174846314815592874e-01 1.163909095887808443e-01 -2.704498088606112072e-01
2.364089940656447730e+00 9.944483604701924717e-01 3.890935809424364011e-01 -2.548067341364642635e-01 -2.955479731927557197e-01
2.464089940656447819e+00 9.503841504365225790e-01 3.586646695237843963e-01 -6.227154300121309216e-01 -3.119685075615607484e-01
2.564089940656447908e+00 8.723150190201029996e-01 3.268366930175298224e-01 -9.158863765554163816e-01 -3.242553537231732674e-01
2.664089940656447997e+00 7.719274437583454329e-01 2.938294876982202597e-01 -1.075913156187035424e+00 -3.359998203775160786e-01
2.764089940656448086e+00 6.598679419948966229e-01 2.595913327056292852e-01 -1.146647143665861623e+00 -3.490652538141787997e-01
2.864089940656448174e+00 5.465638561542467411e-01 2.239577791873884616e-01 -1.103124744671091895e+00 -3.638311367879013547e-01
2.964089940656448263e+00 4.424629511746130950e-01 1.868088068889867115e-01 -9.606378906347400326e-01 -3.790385884379073311e-01
3.064089940656448352e+00 3.578390190049395292e-01 1.482253804330659896e-01 -7.187637177551501333e-01 -3.919406293089083837e-01
3.164089940656448441e+00 2.999148367491014100e-01 1.086299629729831906e-01 -4.417222761663354147e-01 -3.985560004856261163e-01
3.264089940656448530e+00 2.687041009293638094e-01 6.886447379110360867e-02 -1.842148140369748721e-01 -3.946876832780188415e-01
3.364089940656448618e+00 2.620750326554383558e-01 3.016083535899501816e-02 3.872540067108293238e-02 -3.768011549740294397e-01
3.464089940656448707e+00 2.735614365531354730e-01 -5.948063013535530297e-03 1.807531856546633342e-01 -3.425474893726216385e-01
3.564089940656448796e+00 2.962570288320986456e-01 -3.778129040467282512e-02 2.584987918583148137e-01 -2.913249012586313635e-01
3.664089940656448885e+00 3.217692193595261818e-01 -6.368339773085228417e-02 2.375235612462570089e-01 -2.242852888525736776e-01
3.764089940656448974e+00 3.426149631144568830e-01 -8.221289630211581212e-02 1.796493112881300258e-01 -1.445156281632376527e-01
3.864089940656449063e+00 3.571320894523768441e-01 -9.230149606174045673e-02 1.024198863668057818e-01 -5.621667730802921981e-02
3.964089940656449151e+00 3.614595009975784534e-01 -9.333446129431657856e-02 -2.054927746526358234e-02 3.570645927046248169e-02
4.064089940656448796e+00 3.530583332996800605e-01 -8.522626692508072921e-02 -1.414945125826981842e-01 1.256511563896525185e-01
4.164089940656448441e+00 3.349995294929452583e-01 -6.845319076158638827e-02 -2.124873180725576072e-01 2.081632488249705037e-01
4.264089940656448086e+00 3.114153330694232613e-01 -4.399298810700417312e-02 -2.527683586053159903e-01 2.787226334112347104e-01
4.364089940656447730e+00 2.867485668027261458e-01 -1.322440649454436484e-02 -2.264936032999127768e-01 3.338649623044353532e-01
4.464089940656447375e+00 2.686043656317652628e-01 2.220120557517221704e-02 -1.286680104382975087e-01 3.717026110689827245e-01
4.564089940656447020e+00 2.615092484974865239e-01 6.053096490023603810e-02 -9.583865332745036825e-03 3.920174909891425141e-01
4.664089940656446664e+00 2.691498080509742707e-01 1.000513557696588451e-01 1.778600456336640323e-01 3.957919832506971436e-01
4.764089940656446309e+00 2.980739491262389129e-01 1.392215786121623888e-01 3.954121250249863495e-01 3.855656499291684747e-01
4.864089940656445954e+00 3.473749362219760717e-01 1.768151069949116805e-01 5.901573455641375698e-01 3.648617316391702392e-01
4.964089940656445599e+00 4.154847847162469465e-01 2.119683144704694877e-01 7.615535617585453831e-01 3.373898500581402060e-01
5.064089940656445243e+00 4.968689092099758953e-01 2.441865558602191455e-01 8.551313911819110603e-01 3.066870101954610184e-01
5.164089940656444888e+00 5.850160291028376758e-01 2.732881713443719440e-01 8.974641015262937449e-01 2.754375622289643166e-01
5.264089940656444533e+00 6.733413193639916638e-01 2.993187779833262896e-01 8.541638313573838293e-01 2.454837428922774789e-01
5.364089940656444178e+00 7.530484868956411892e-01 3.224501063401239431e-01 7.242643026953288210e-01 2.174425984986356752e-01
5.464089940656443822e+00 8.157459988241578808e-01 3.428482484218184911e-01 5.247009917168885540e-01 1.905935012628588443e-01
5.564089940656443467e+00 8.572629040496286823e-01 3.605521617844216764e-01 3.001849704283849896e-01 1.632347920335503744e-01
5.664089940656443112e+00 8.756026694558218804e-01 3.754087768737667807e-01 7.222380618171359012e-02 1.332844545135035419e-01
5.764089940656442757e+00 8.727552967078571200e-01 3.870561653557516024e-01 -1.260949105977092755e-01 9.876810506759695074e-02
5.864089940656442401e+00 8.517506214715137025e-01 3.949630704035524409e-01 -2.808868008371924185e-01 5.830041872853593266e-02
5.964089940656442046e+00 8.196706060279744799e-01 3.985017653007443261e-01 -3.483109173963672700e-01 1.145112116718877138e-02
6.064089940656441691e+00 7.833958212059530801e-01 3.970717688693772840e-01 -3.713191827077149121e-01 -4.081805672058264056e-02
6.164089940656441335e+00 7.474234559631918184e-01 3.902205988177895879e-01 -3.400274561848247723e-01 -9.657958128728444391e-02
6.264089940656440980e+00 7.155360949249085500e-01 3.777307505689863620e-01 -2.963015672471119855e-01 -1.530913469016349227e-01
6.364089940656440625e+00 6.893119888331523670e-01 3.596792178612406854e-01 -2.294972424918936271e-01 -2.072829332480969344e-01
6.464089940656440270e+00 6.671852061085578045e-01 3.364560018411365538e-01 -2.228341146699674702e-01 -2.560628061423717017e-01
6.564089940656439914e+00 6.445661593897966668e-01 3.087216923719350858e-01 -2.319924050911575386e-01 -2.972038301020653583e-01
6.664089940656439559e+00 6.190009133540199660e-01 2.773214727691482584e-01 -2.859747072034636295e-01 -3.291968169615849260e-01
6.764089940656439204e+00 5.874263657017682050e-01 2.432083626377618546e-01 -3.436863780231576571e-01 -3.514208482503052844e-01
6.864089940656438849e+00 5.501869368127679794e-01 2.073660869684866848e-01 -4.013973751071236440e-01 -3.637967629143975534e-01
6.964089940656438493e+00 5.074775286210236880e-01 1.707672575861461928e-01 -4.496170907540047446e-01 -3.666336565432060657e-01
7.064089940656438138e+00 4.608216577286963767e-01 1.343382914696883146e-01 -4.834045408532647858e-01 -3.605075220345818066e-01
7.164089940656437783e+00 4.104311909034275563e-01 9.893850994231609408e-02 -5.230844910213077181e-01 -3.462153632420187366e-01
7.264089940656437427e+00 3.577821706065789642e-01 6.533015880925752139e-02 -5.209314635317371378e-01 -3.248617791453369819e-01
7.364089940656437072e+00 3.066430977627406240e-01 3.417117924942698892e-02 -5.028738975078025364e-01 -2.973613146105382188e-01
7.464089940656436717e+00 2.581465007902615238e-01 6.033302054029653083e-03 -4.597773247535065777e-01 -2.645917869121905408e-01
7.564089940656436362e+00 2.151988932524729337e-01 -1.859744446385448724e-02 -3.967987199251834518e-01 -2.273296511836436218e-01
7.664089940656436006e+00 1.804052952006774402e-01 -3.930375871668103510e-02 -2.927330300562787091e-01 -1.861831122608481048e-01
7.764089940656435651e+00 1.562911520483254435e-01 -5.571458540740660548e-02 -1.898585250587463968e-01 -1.414628515109946361e-01
7.864089940656435296e+00 1.439130914362262426e-01 -6.748837392960249648e-02 -5.327206639576106961e-02 -9.348646856180438391e-02
7.964089940656434941e+00 1.444083335338609275e-01 -7.430791394437509523e-02 5.475054432210188504e-02 -4.241436091581700374e-02
8.064089940656435473e+00 1.538589359596387041e-01 -7.588725407065347039e-02 1.304792140084728991e-01 1.116054289393576815e-02
8.164089940656435118e+00 1.706941941359212678e-01 -7.203014908154713181e-02 2.119327492926297296e-01 6.610649280838462594e-02
8.264089940656434763e+00 1.958209377815346430e-01 -6.265856336888528388e-02 2.786299976329840167e-01 1.212664287822300679e-01
8.364089940656434408e+00 2.246764179415647322e-01 -4.781656760841333786e-02 2.954716746391868321e-01 1.752127226107413616e-01
8.464089940656434052e+00 2.539640586634554498e-01 -2.772317040475356584e-02 2.845633486210194518e-01 2.259348582241714198e-01
