time[s] x1[m] x2[m] x1_dot[m/s] x2_dot[m/s]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999999999999999124e-05 3.315174284774372881e-08 3.984198184694489028e-15 6.630297961159439856e-04 1.199264016431134905e-10
1.100000000000000066e-03 4.010744015954951389e-06 5.835919410554613069e-12 7.291640472537892770e-03 1.644903994046724231e-08
1.110000000000000049e-02 4.077213271828778992e-04 1.146602576873156520e-08 7.339108937753482942e-02 3.645252934282813087e-06
6.190411018843799962e-02 1.253435932811979188e-02 6.765921201879401492e-06 4.013934155620486610e-01 4.211219531285862513e-04
1.619041101884380052e-01 8.253670196262938297e-02 2.833689688549698724e-04 9.810666583243211614e-01 6.824045042244027658e-03
2.619041101884380107e-01 2.036432882649267528e-01 1.837369328443487406e-03 1.404161426488021114e+00 2.710820333818447433e-02
3.619041101884380440e-01 3.557454918600866378e-01 6.341090885688226500e-03 1.608295501698495000e+00 6.634028879334136208e-02
4.619041101884380218e-01 5.203770223875778811e-01 1.578411834558531013e-02 1.655994785185009643e+00 1.258342032373627184e-01
5.619041101884379996e-01 6.797095331633322690e-01 3.212103189017675997e-02 1.487955959869743827e+00 2.035895892979667776e-01
6.619041101884379774e-01 8.101054440468913320e-01 5.692023011949499944e-02 1.095938729165521153e+00 2.937608840652707887e-01
7.619041101884379552e-01 8.975436174812212453e-01 9.097853227426314082e-02 6.511040373452925412e-01 3.870681192955889860e-01
8.619041101884379330e-01 9.398237249302200391e-01 1.340931472029295579e-01 1.989578381219531122e-01 4.731551486805808393e-01
9.619041101884379108e-01 9.393600377828564829e-01 1.850324802113264278e-01 -1.984326961704855896e-01 5.419820419756713470e-01
1.061904110188437889e+00 9.034148049711709927e-01 2.416262898722617292e-01 -4.931353871717740200e-01 5.849941052368440308e-01
1.161904110188437977e+00 8.466679355121350392e-01 3.009704555455767760e-01 -6.112489777388572243e-01 5.963101329709753484e-01
1.261904110188438066e+00 7.883706022139955749e-01 3.597594690822676355e-01 -5.216383973805682750e-01 5.739116666355935648e-01
1.361904110188438155e+00 7.456827396273861819e-01 4.146991810970951930e-01 -3.238193211178094777e-01 5.199955963909932422e-01
1.461904110188438244e+00 7.258522621067755587e-01 4.628780698529871285e-01 -6.476130434667992652e-02 4.397346920997138864e-01
1.561904110188438333e+00 7.327556903177195879e-01 5.020032806840277750e-01 2.010967783737089287e-01 3.402161408776315232e-01
1.661904110188438422e+00 7.656283760989298637e-01 5.305473923845338557e-01 4.496478079007780737e-01 2.294909257239302058e-01
1.761904110188438510e+00 8.208854336329056700e-01 5.478021445243966836e-01 6.469359762068027653e-01 1.157653618625986980e-01
1.861904110188438599e+00 8.927957482944787193e-01 5.538555331059166198e-01 7.762133739434725621e-01 6.653942612485461150e-03
1.961904110188438688e+00 9.725283181483233008e-01 5.495015536634003661e-01 7.967008741834213925e-01 -9.146587037141212795e-02
2.061904110188438555e+00 1.047362777998965155e+00 5.360758500313231867e-01 6.779368340287437178e-01 -1.742709218285784512e-01
2.161904110188438644e+00 1.104135103096923309e+00 5.152184703002106181e-01 4.376227341120648706e-01 -2.400241108487732866e-01
2.261904110188438732e+00 1.131547674451272911e+00 4.886168598926004525e-01 1.003748686011655677e-01 -2.894732442299139952e-01
2.361904110188438821e+00 1.123210111923810706e+00 4.577768119763802601e-01 -2.686055601332908438e-01 -3.253664072631957671e-01
2.461904110188438910e+00 1.078058529976251734e+00 4.238691667307824540e-01 -6.303797195639646578e-01 -3.515029057069964380e-01
2.561904110188438999e+00 9.995940001617643622e-01 3.876655192341244560e-01 -9.153353032038529236e-01 -3.719328607429521760e-01
2.661904110188439088e+00 8.998586790410904035e-01 3.495664603522183334e-01 -1.063970829621966319e+00 -3.897819010274499174e-01
2.761904110188439176e+00 7.891873881969597715e-01 3.097452462685968966e-01 -1.132522346950779246e+00 -4.065152360807146592e-01
2.861904110188439265e+00 6.770455662429152310e-01 2.682923366651209784e-01 -1.095754395113373914e+00 -4.223291079081813448e-01
2.961904110188439354e+00 5.728838801339248832e-01 2.253485768768536124e-01 -9.705934909026255886e-01 -4.360299352061878242e-01
3.061904110188439443e+00 4.861378452799669514e-01 1.812365728382713814e-01 -7.520546027868083572e-01 -4.451841221495366208e-01
3.161904110188439532e+00 4.235146762343281468e-01 1.365792667083281786e-01 -5.034257996824520465e-01 -4.463095494528454554e-01
3.261904110188439621e+00 3.845186613587275870e-01 9.236160574892603170e-02 -2.779293778080759170e-01 -4.358554121651876945e-01
3.361904110188439709e+00 3.671468214937141372e-01 4.988880174256837829e-02 -8.139611559428458487e-02 -4.110142904430097999e-01
3.461904110188439798e+00 3.655694598443527399e-01 1.069614971587684593e-02 4.158143485374135584e-02 -3.701112763224261304e-01
3.561904110188439887e+00 3.740434152646552879e-01 -2.359447949966527597e-02 1.158986133182901418e-01 -3.130822723506000438e-01
3.661904110188439976e+00 3.856901169063032819e-01 -5.142877119872328595e-02 1.049926501792221439e-01 -2.413719109391448403e-01
3.761904110188440065e+00 3.944500004947883443e-01 -7.148291573907619711e-02 7.372643127198955093e-02 -1.581069639383266834e-01
3.861904110188440153e+00 4.003982689535074413e-01 -8.279645767725718475e-02 3.835700494335323590e-02 -6.724353872818296385e-02
3.961904110188440242e+00 4.005822794580649604e-01 -8.482477746527597451e-02 -3.928509113849993489e-02 2.679840776264112712e-02
4.061904110188439887e+00 3.925281198328802179e-01 -7.749895637838348506e-02 -1.162605625713309943e-01 1.189776328817149509e-01
4.161904110188439532e+00 3.790424683907241965e-01 -6.125634003292129703e-02 -1.475291551445054306e-01 2.043777134242154014e-01
4.261904110188439176e+00 3.634172347511029355e-01 -3.698620638431215912e-02 -1.613440054876853491e-01 2.789142416802181113e-01
4.361904110188438821e+00 3.485686474284022118e-01 -5.945744392388378069e-03 -1.238889560465840367e-01 3.393294056177054152e-01
4.461904110188438466e+00 3.406523560125189753e-01 3.034213824174436872e-02 -2.927932043240390192e-02 3.836691510568174812e-01
4.561904110188438111e+00 3.426103429135612388e-01 7.023315133785720810e-02 6.918381055572707383e-02 4.113827160588099385e-01
4.661904110188437755e+00 3.566437085221300096e-01 1.120751882619875489e-01 2.267894360376022656e-01 4.228468600445434156e-01
4.761904110188437400e+00 3.889066797306561796e-01 1.543195350274202127e-01 4.124079918159317404e-01 4.198536783779016623e-01
4.861904110188437045e+00 4.381885085761920151e-01 1.956556930390876414e-01 5.735574839768698974e-01 4.051579718748809511e-01
4.961904110188436690e+00 5.033050421076489256e-01 2.350604351780812840e-01 7.198434257282080306e-01 3.817488740128723301e-01
5.061904110188436334e+00 5.796205681788391129e-01 2.718161858197333247e-01 7.973365976854783765e-01 3.526334195362244572e-01
5.161904110188435979e+00 6.618262135164294513e-01 3.054773054160715984e-01 8.393759340839082039e-01 3.202150976531848436e-01
5.261904110188435624e+00 7.449356614831008638e-01 3.358133877340480078e-01 8.099285358216478103e-01 2.863868951201609114e-01
5.361904110188435268e+00 8.214153787210310975e-01 3.627417316054936114e-01 7.054907878347715933e-01 2.521363065580001228e-01
5.461904110188434913e+00 8.837951380957217440e-01 3.862245259942212461e-01 5.382821813679204981e-01 2.173710126994122249e-01
5.561904110188434558e+00 9.285340989987046489e-01 4.061691333084306854e-01 3.510483104072478211e-01 1.811954246147677583e-01
5.661904110188434203e+00 9.537070017319978499e-01 4.223772040567865260e-01 1.574187375611674211e-01 1.424273009813705471e-01
5.761904110188433847e+00 9.608545757272418664e-01 4.345305990785417460e-01 -1.338403621658637577e-02 9.995574758261965842e-02
5.861904110188433492e+00 9.519193879366645294e-01 4.422219882471368768e-01 -1.544560468120902696e-01 5.311276503534437948e-02
5.961904110188433137e+00 9.326355558303025539e-01 4.450070404277247649e-01 -2.211211704085390695e-01 1.930516437593482459e-03
6.061904110188432782e+00 9.084084305145475602e-01 4.425009887951042442e-01 -2.608220170623679612e-01 -5.245062274345141384e-02
6.161904110188432426e+00 8.820039487096636988e-01 4.344684779776415984e-01 -2.609202280691275133e-01 -1.082603957431594321e-01
6.261904110188432071e+00 8.559470195456357899e-01 4.208776379494231223e-01 -2.607567846926526767e-01 -1.632140076002135121e-01
6.361904110188431716e+00 8.309099297890431002e-01 4.019332713713772431e-01 -2.410789168613121647e-01 -2.149288345140948353e-01
6.461904110188431360e+00 8.051573315109750162e-01 3.780780774671302913e-01 -2.841330919791853482e-01 -2.611030852239504818e-01
6.561904110188431005e+00 7.742197751823715057e-01 3.499447742413184237e-01 -3.344939647211718770e-01 -3.003203414959410567e-01
6.661904110188430650e+00 7.368707190946498509e-01 3.182749628990613200e-01 -4.170684866449140826e-01 -3.317407010317791616e-01
6.761904110188430295e+00 6.915114289964505723e-01 2.838632310550677773e-01 -4.845201414892355007e-01 -3.551632754563623373e-01
6.861904110188429939e+00 6.405532708679265719e-01 2.475089719372821073e-01 -5.320224283551315825e-01 -3.705892941508410199e-01
6.961904110188429584e+00 5.859959647556510776e-01 2.100109430036464220e-01 -5.534173308983995065e-01 -3.780463258816693650e-01
7.061904110188429229e+00 5.308325537583852283e-01 1.721655453222142584e-01 -5.485171045241133969e-01 -3.775260488548636828e-01
7.161904110188428874e+00 4.759689268515722160e-01 1.347717877408097786e-01 -5.477979696747783400e-01 -3.690398972098875574e-01
7.261904110188428518e+00 4.228310576789607311e-01 9.861342902824511703e-02 -5.061674569766557719e-01 -3.528656207313884963e-01
7.361904110188428163e+00 3.748478654154130396e-01 6.445067413867180961e-02 -4.571125024274658166e-01 -3.291410592747473496e-01
7.461904110188427808e+00 3.318777428405140784e-01 3.302750731143209301e-02 -3.969418756152559569e-01 -2.981503048593984184e-01
7.561904110188427452e+00 2.954657022296003910e-01 5.047693336902008693e-03 -3.318997237764674257e-01 -2.603570848615407995e-01
7.661904110188427097e+00 2.666925673112570117e-01 -1.883767486072347383e-02 -2.387673708834078812e-01 -2.163677157475848711e-01
7.761904110188426742e+00 2.468920498331671209e-01 -3.803856681840062787e-02 -1.599219399643511952e-01 -1.667801683283414438e-01
7.861904110188426387e+00 2.360313738781463500e-01 -5.203637221737844598e-02 -5.279453717161321225e-02 -1.124592302449055892e-01
7.961904110188426031e+00 2.349690710811928873e-01 -6.040030800838998987e-02 2.230180351530013094e-02 -5.426167799335582936e-02
8.061904110188425676e+00 2.395283949171327642e-01 -6.280440486580826653e-02 6.600325619285493661e-02 6.448621325281914118e-03
8.161904110188425321e+00 2.486780256595147176e-01 -5.908985927139562278e-02 1.254163162303276180e-01 6.778763627254812130e-02
8.261904110188424966e+00 2.647031880487935029e-01 -4.928365097628127633e-02 1.845812424989977385e-01 1.280247461194676806e-01
8.361904110188424610e+00 2.841434775736771390e-01 -3.357957317144893289e-02 2.034892167647510686e-01 1.854059696279672098e-01
8.461904110188424255e+00 3.048827906496586193e-01 -1.236804897609091250e-02 2.072076703017200483e-01 2.378184462494710993e-01
8.561904110188423900e+00 3.257622457061419841e-01 1.374722617859236440e-02 2.147478435548579589e-01 2.831374649843987901e-01
8.661904110188423545e+00 3.486667260983603578e-01 4.396344808175801921e-02 2.481663572482817048e-01 3.196007491695408431e-01
8.761904110188423189e+00 3.760365214905989628e-01 7.733687632055601113e-02 2.988429073752770782e-01 3.461718543824686689e-01
8.861904110188422834e+00 4.084161141524770278e-01 1.128543432650749717e-01 3.505175437703689778e-01 3.624531096689855847e-01
8.961904110188422479e+00 4.463695478636199310e-01 1.494868140021910485e-01 4.095312460577380520e-01 3.685315123502855283e-01
9.061904110188422123e+00 4.903184090849420085e-01 1.862403972969541022e-01 4.637318193192798699e-01 3.650155107212874617e-01
9.161904110188421768e+00 5.370173781858865736e-01 2.221990310857313577e-01 4.612686366663051873e-01 3.527548107604732697e-01
9.261904110188421413e+00 5.813352010954949689e-01 2.565171525956382870e-01 4.195322056682739831e-01 3.322622212273489417e-01
9.361904110188421058e+00 6.206401811024018222e-01 2.883866590241031536e-01 3.695812036064460293e-01 3.038326993220424876e-01
9.461904110188420702e+00 6.552503721666053105e-01 3.170354334998413681e-01 3.198967372118377006e-01 2.679653371346301105e-01
9.561904110188420347e+00 6.850096649191097509e-01 3.417585908710629727e-01 2.800055718870460009e-01 2.254794936927140003e-01
9.661904110188419992e+00 7.115198920422274309e-01 3.619510375349669351e-01 2.510160189690137100e-01 1.775958176950892808e-01
9.761904110188419637e+00 7.355981228859629351e-01 3.771514651662735695e-01 2.284526665987728355e-01 1.259343463069476643e-01
9.861904110188419281e+00 7.564356936475553628e-01 3.870723051720739716e-01 1.902386194129377928e-01 7.229677013123156359e-02
9.961904110188418926e+00 7.745730454595510794e-01 3.916040554657716499e-01 1.703120912525385167e-01 1.846967249213096046e-02
1.006190411018841857e+01 7.887070171671902719e-01 3.908230288043236245e-01 1.052558247267261077e-01 -3.368230051772395234e-02
1.016190411018841822e+01 7.955099656480822956e-01 3.849673744204095138e-01 3.177849580144109787e-02 -8.284605704105738044e-02
1.026190411018841786e+01 7.941110058061299215e-01 3.743863365603566362e-01 -6.799880431857137364e-02 -1.280544385083929315e-01
1.036190411018841750e+01 7.812215172411647313e-01 3.595040981563725202e-01 -1.893905483082100050e-01 -1.688500305232225052e-01
1.046190411018841715e+01 7.558023336454965380e-01 3.407625447740036950e-01 -3.203701046370199812e-01 -2.052719555408409335e-01
1.056190411018841679e+01 7.184697953152875405e-01 3.185852765739590198e-01 -4.167390824241439806e-01 -2.376127868193862736e-01
1.066190411018841644e+01 6.735275724532565622e-01 2.933744628355398620e-01 -4.751037168740822603e-01 -2.659101858570081522e-01
1.076190411018841608e+01 6.256734724043545581e-01 2.655509154029950247e-01 -4.755231597288543943e-01 -2.897514535327102569e-01
1.086190411018841573e+01 5.784482297483676261e-01 2.356034069701151146e-01 -4.678353631751370756e-01 -3.082235561109075705e-01
1.096190411018841537e+01 5.323651231800721195e-01 2.041153231911755350e-01 -4.546010474876991947e-01 -3.204268278966622141e-01
1.106190411018841502e+01 4.886403522813259626e-01 1.717511091761018960e-01 -4.094347563348361696e-01 -3.256311541061037151e-01
1.116190411018841466e+01 4.501425369771555607e-01 1.392502287374921544e-01 -3.720327481464014152e-01 -3.230188047168559007e-01
1.126190411018841431e+01 4.140704420326773438e-01 1.074222216372104910e-01 -3.402462161497230575e-01 -3.121720607754499555e-01
1.136190411018841395e+01 3.824340428938486358e-01 7.709105738997631962e-02 -2.983040242796433095e-01 -2.930762279816858662e-01
1.146190411018841360e+01 3.539874057696696941e-01 4.907443502544107938e-02 -2.687508608756444262e-01 -2.659728647781700039e-01
