U[m/s] mean_x1[m] std_x1[m] mean_x2[m] std_x2[m]
4.000000000000000000e+00 1.696312819269906735e-01 3.880135438300416628e-02 5.820422670259087217e-02 2.704113574825382088e-02
5.000000000000000000e+00 2.645540995836129783e-01 5.623663305834450399e-02 9.078412607609893936e-02 3.858999728770650534e-02
6.000000000000000000e+00 3.750794643347983848e-01 7.709379912013251956e-02 1.287370408330747173e-01 5.147945578270145955e-02
7.000000000000000000e+00 4.856877972917623687e-01 9.767534281274824204e-02 1.666991453108535304e-01 6.432197412915556523e-02
8.000000000000000000e+00 6.032168616346270662e-01 1.194337767086569024e-01 2.070465122439275052e-01 7.775431302937668709e-02
9.000000000000000000e+00 7.656426606526003376e-01 1.460544132312512622e-01 2.628007656273106951e-01 9.396804185847702773e-02
1.000000000000000000e+01 9.464084473549271292e-01 1.776739215318781651e-01 3.248563181932971888e-01 1.118708837363816683e-01
1.100000000000000000e+01 1.147200576247762616e+00 2.113600058715059682e-01 3.937023162560899792e-01 1.308753626227157074e-01
1.200000000000000000e+01 9.711649581095699313e-01 1.960140078835779787e-01 3.333755037447454495e-01 1.261265105877377168e-01
1.300000000000000000e+01 8.303013956811526874e-01 1.834927348147805948e-01 2.850263268337871470e-01 1.220433615633079033e-01
1.400000000000000000e+01 7.442668004469911169e-01 1.776820082725885097e-01 2.555064087291420427e-01 1.207472785516704311e-01
1.500000000000000000e+01 6.868905455045507535e-01 1.751915602183408971e-01 2.358245968222888178e-01 1.207714605210393755e-01
1.600000000000000000e+01 6.380675200500312005e-01 1.732690923889478873e-01 2.190827703906718382e-01 1.210174052276713069e-01
1.700000000000000000e+01 5.986738958253406961e-01 1.719441469432597680e-01 2.054398089067843158e-01 1.211770330470320206e-01
1.800000000000000000e+01 5.687804249781764909e-01 1.716280876452985771e-01 1.951601928880887793e-01 1.218582273851271242e-01
1.900000000000000000e+01 5.405825352141818696e-01 1.710372974525189438e-01 1.854619143356479871e-01 1.222084052533612408e-01
2.000000000000000000e+01 5.191292418844186685e-01 1.711950867821957212e-01 1.780801706283770547e-01 1.229102370621579648e-01
2.100000000000000000e+01 4.997153344888133342e-01 1.712898625565058008e-01 1.713985245396666690e-01 1.234663937412837920e-01
2.200000000000000000e+01 4.857614974316451506e-01 1.721348881468946768e-01 1.665924317670298971e-01 1.244436909944795916e-01
2.300000000000000000e+01 4.684575038047377737e-01 1.719022403219030160e-01 1.606383140931325060e-01 1.245950700520939980e-01
2.400000000000000000e+01 4.557478894039715400e-01 1.721530838669077523e-01 1.562516815683798743e-01 1.251059410564124286e-01
2.500000000000000000e+01 4.426302430061790361e-01 1.722928258638591614e-01 1.517441175365083217e-01 1.253389370106330614e-01
