time[s] x1[m] x2[m] x1_dot[m/s] x2_dot[m/s]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999999999999999124e-05 4.404001875662981735e-08 5.292812598938861819e-15 8.807756953479663631e-04 1.593147522277137691e-10
1.100000000000000066e-03 5.325851873517547639e-06 7.750416192242973487e-12 9.680372507610937247e-03 2.184293574607176326e-08
1.110000000000000049e-02 5.392215288270091941e-04 1.518656899967440238e-08 9.684377733364006591e-02 4.824189734810811002e-06
9.731815835709008156e-02 3.915601793422199273e-02 5.057915898983913474e-05 7.759135910188481589e-01 2.010074218137246262e-03
1.973181583570901010e-01 1.484706970344652766e-01 7.768215622694353518e-04 1.372813547109727583e+00 1.515174950554773123e-02
2.973181583570900788e-01 3.045387036018851745e-01 3.719975090935898066e-03 1.698627242005565918e+00 4.730641942551938595e-02
3.973181583570900566e-01 4.802275648805123254e-01 1.098584322730082607e-02 1.786071964650547850e+00 1.017494083621107159e-01
4.973181583570900344e-01 6.558867304051152480e-01 2.478153175275091963e-02 1.693387830620451950e+00 1.774269494431034988e-01
5.973181583570900122e-01 8.114353785086674264e-01 4.702703133370952915e-02 1.380670946794345655e+00 2.696462911730939660e-01
6.973181583570899900e-01 9.276598823846260444e-01 7.898506532255908374e-02 9.427514728720258752e-01 3.700205222937261729e-01
7.973181583570899678e-01 1.001163238540039524e+00 1.209566829762605544e-01 5.309698869139458655e-01 4.681793035107856271e-01
8.973181583570899456e-01 1.035529568218290342e+00 1.722103730072674366e-01 1.718376404397890522e-01 5.540617950143947867e-01
9.973181583570899233e-01 1.038246522559140628e+00 2.310667196120786415e-01 -1.035766536636035240e-01 6.189416684856841044e-01
1.097318158357089901e+00 1.019453187138508632e+00 2.950760194956036364e-01 -2.451188829814164860e-01 6.562469555637663321e-01
1.197318158357089990e+00 9.942267860413352976e-01 3.612758027298160202e-01 -2.311679787640369133e-01 6.624582642938924293e-01
1.297318158357090079e+00 9.783183660750556232e-01 4.265292749696057428e-01 -7.705412250884638437e-02 6.376339648990340114e-01
1.397318158357090168e+00 9.787419534109998986e-01 4.878713619041783467e-01 8.748868831350148367e-02 5.849108944858543158e-01
1.497318158357090256e+00 9.961152383999126725e-01 5.427358752912907480e-01 2.545805128344166279e-01 5.089580313301220738e-01
1.597318158357090345e+00 1.028412653376356678e+00 5.890743052039799643e-01 3.879899065787547618e-01 4.153531798089166172e-01
1.697318158357090434e+00 1.072620931127176380e+00 6.254145599772804598e-01 4.885349762344279867e-01 3.099910392766482281e-01
1.797318158357090523e+00 1.125059786299768660e+00 6.508774238825290048e-01 5.556971079654331458e-01 1.987703520724004302e-01
1.897318158357090612e+00 1.182278853108548411e+00 6.651619007071803980e-01 5.792113800183265049e-01 8.732674706576555590e-02
1.997318158357090701e+00 1.238453430914602915e+00 6.685027883864381737e-01 5.289777971178702964e-01 -1.935831521810092715e-02
2.097318158357090567e+00 1.285342570105504567e+00 6.615746010378066311e-01 3.981593126151359296e-01 -1.175633922605942988e-01
2.197318158357090656e+00 1.315860557060214431e+00 6.453486538691970420e-01 2.013101458448849912e-01 -2.050595814566166242e-01
2.297318158357090745e+00 1.324461129190326103e+00 6.209489531734967427e-01 -3.012307387036067263e-02 -2.809999854816177534e-01
2.397318158357090834e+00 1.309987846766404118e+00 5.895303889184794199e-01 -2.578991108716778280e-01 -3.455029284094142672e-01
2.497318158357090923e+00 1.273308169807278345e+00 5.522106177951797701e-01 -4.699144329673566878e-01 -3.991475062572524268e-01
2.597318158357091011e+00 1.219074671115526476e+00 5.100384119191384569e-01 -5.946636798057705064e-01 -4.426358345611435263e-01
2.697318158357091100e+00 1.156235796449742947e+00 4.640216342447467390e-01 -6.627470720299217799e-01 -4.759680636601822945e-01
2.797318158357091189e+00 1.087280031022311633e+00 4.151959415444393953e-01 -7.075488836420933403e-01 -4.987688251366392822e-01
2.897318158357091278e+00 1.015802509306542589e+00 3.646296507618657645e-01 -7.187192420286557804e-01 -5.107164593963939847e-01
2.997318158357091367e+00 9.450294283952134222e-01 3.134260426630343654e-01 -6.865757757252143323e-01 -5.114555156014556347e-01
3.097318158357091455e+00 8.800869634791934626e-01 2.627286816126546132e-01 -6.085675067264612048e-01 -5.004844433864151787e-01
3.197318158357091544e+00 8.227656738284290228e-01 2.137394580828523849e-01 -5.435383473734286541e-01 -4.772296834955711553e-01
3.297318158357091633e+00 7.713962228239054086e-01 1.676914106299133844e-01 -4.802036200015538103e-01 -4.417308970391335965e-01
3.397318158357091722e+00 7.261620718843273536e-01 1.257815475374583769e-01 -4.317046423276559297e-01 -3.946094041516990392e-01
3.497318158357091811e+00 6.849193385478101748e-01 8.911441780150949898e-02 -3.882133246370832458e-01 -3.371566326501650446e-01
3.597318158357091900e+00 6.485686728559415526e-01 5.863511618569368367e-02 -3.447986742294502083e-01 -2.711695671411566977e-01
3.697318158357091988e+00 6.152265801585494742e-01 3.509209463461976375e-02 -3.176742394635876376e-01 -1.988532908031871993e-01
3.797318158357092077e+00 5.871122588601861425e-01 1.898975469441210179e-02 -2.361616292074826817e-01 -1.227534551385923017e-01
3.897318158357092166e+00 5.677863443534368892e-01 1.059734946107554997e-02 -1.572977390785346707e-01 -4.498193346692727634e-02
3.997318158357092255e+00 5.545926977462521945e-01 9.976955855818104776e-03 -1.090149146645574274e-01 3.228338094618257714e-02
4.097318158357092344e+00 5.462997729844459860e-01 1.695312568747398344e-02 -5.157248085124600812e-02 1.065308729332778287e-01
4.197318158357091988e+00 5.446153931863138009e-01 3.110599577176739045e-02 1.298415555723630987e-02 1.754756987410273639e-01
4.297318158357091633e+00 5.479874682486920445e-01 5.180423871341094388e-02 5.496871520649245640e-02 2.370973208799749266e-01
4.397318158357091278e+00 5.563307491502355040e-01 7.821672060567019802e-02 1.155215417099542258e-01 2.894801347904176203e-01
4.497318158357090923e+00 5.709445740309430084e-01 1.093470474970251183e-01 1.697063473833110292e-01 3.312782297998851377e-01
4.597318158357090567e+00 5.891215999747527743e-01 1.440856226173902743e-01 1.982579028830415147e-01 3.614747531698463967e-01
4.697318158357090212e+00 6.129199122999235971e-01 1.812304053471107124e-01 2.842065152397457162e-01 3.793743639711841809e-01
4.797318158357089857e+00 6.451046582853849909e-01 2.195633373805006283e-01 3.531613975128857774e-01 3.853626891215447547e-01
4.897318158357089501e+00 6.836912725862508422e-01 2.579319060550540055e-01 4.224538534931491229e-01 3.802387581222699264e-01
4.997318158357089146e+00 7.291314295462520967e-01 2.952808151449393681e-01 4.778853887881346907e-01 3.652128994528945349e-01
5.097318158357088791e+00 7.783422780428154164e-01 3.306917034474273209e-01 5.087883153624933597e-01 3.417033610156660073e-01
5.197318158357088436e+00 8.310551731156157196e-01 3.633881030713271842e-01 5.395989921845411041e-01 3.112039852356098812e-01
5.297318158357088080e+00 8.848732083408401561e-01 3.927555852120463431e-01 5.315006345736227322e-01 2.753848251197082431e-01
5.397318158357087725e+00 9.357878652490217997e-01 4.183343170091853858e-01 4.780321422638884044e-01 2.356258764697588548e-01
5.497318158357087370e+00 9.800247409048303826e-01 4.397807584396296043e-01 4.080143526441841195e-01 1.928653110746143540e-01
5.597318158357087015e+00 1.016790536322918159e+00 4.568335807589302133e-01 3.235290655261447990e-01 1.478845656256778662e-01
5.697318158357086659e+00 1.045102532710681542e+00 4.693072418763501452e-01 2.457258003810690872e-01 1.013989393555929930e-01
5.797318158357086304e+00 1.065602743080840575e+00 4.770902566358083408e-01 1.620313567167602220e-01 5.421547982367855983e-02
5.897318158357085949e+00 1.078221164850354130e+00 4.801540769253846430e-01 9.839491887760419553e-02 7.155315542944844232e-03
5.997318158357085593e+00 1.086254976423960406e+00 4.785612631386495508e-01 5.992984255941272848e-02 -3.869516852423381809e-02
6.097318158357085238e+00 1.089412058337692057e+00 4.724992325681984240e-01 4.617689886212784922e-03 -8.203456471982462084e-02
6.197318158357084883e+00 1.087624516003280695e+00 4.622739883680787587e-01 -4.528589076713435829e-02 -1.217838503365844538e-01
6.297318158357084528e+00 1.079446193188088321e+00 4.482921563872761528e-01 -1.139189735775300860e-01 -1.570612469441768910e-01
6.397318158357084172e+00 1.065034665976002382e+00 4.310290862149138702e-01 -1.868434524932178209e-01 -1.873238947030006762e-01
6.497318158357083817e+00 1.039946850654471566e+00 4.109990286043145868e-01 -3.116635903087872084e-01 -2.124738057630960464e-01
6.597318158357083462e+00 1.003778751195625096e+00 3.886837759640135448e-01 -4.144934493283318755e-01 -2.331318333267104748e-01
